num,name,id,office,region,income,income_family,bank_deps,bank_deps_family,position,flat_area,flat_area_family,house_area,house_area_family,income_salary,income_salary_family,cars_info,cars_family_info,family_cars_sum,personal_cars_sum,all_cars_sum,all_income,family_cars_sum_uah,personal_cars_sum_uah,all_cars_sum_uah,all_cars_sum_uah_mln,monthly_salary,monthly_salary_family,all_salary,all_deps,all_estate
50,Іваненко Юлія Геннадіївна,vulyk_8_134,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,Загальнодержавний регіон,629968.28,0.0,0.0,0.0,суддя Вищого спеціалізованого суду України з розгляду цивільних і кримінальних справ,69.0,69.0,0.0,0.0,264628.28,0.0,BMW 4281,,0.0,45158.0,45158.0,629968.28,0.0,45.0,1128950.0,1.13,22052.0,0.0,22052.0,0.0,138.0
56,Іванов Іван Іванович,vulyk_19_6,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,м. Київ,26924.1,0.0,0.0,0.0,заступник начальника Київської міської митниці,64.0,0.0,0.0,413.0,26924.1,0.0,,Lexus RX 350,41017.0,0.0,41017.0,26924.1,1025.0,0.0,1025425.0,1.03,2244.0,0.0,2244.0,0.0,477.0
59,Іванов Дмитро Іванович,vulyk_14_97,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,Одеська область,41588.0,21836.0,0.0,0.0,заступник начальника ГУ ДФС в Одеській області,0.0,73.0,0.0,347.0,41588.0,21836.0,Mercedes-Benz GL 550,Lexus LX 470;Mercedes-Benz S 550,52778.0,38920.0,91698.0,63424.0,1319.0,39.0,2292450.0,2.29,3466.0,1820.0,5286.0,0.0,420.0
61,Іванов Сергій Володимирович,vulyk_10_136,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,Одеська область,646312.0,791827.0,0.0,0.0,начальник митного поста Одеса-порт Одеської митниці ДФС,67.0,72.0,235.0,329.0,72354.0,70508.0,Volkswagen Multivan,Hyundai Tiburon,11000.0,36499.0,47499.0,1438139.0,275.0,36.0,1187475.0,1.19,6030.0,5876.0,11906.0,0.0,703.0
62,Іванов Юрій Анатолійович,vulyk_14_122,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,Одеська область,103500.42,639482.0,0.0,0.0,Начальник ДПІ у Комінтернівськом районі ГУ ДФС в Одеській області,134.0,0.0,0.0,0.0,65140.02,0.0,Toyota Camry;Toyota Sienna,Toyota Camry;Toyota Sienna,29533.0,29533.0,59066.0,742982.42,738.0,30.0,1476650.0,1.48,5428.0,0.0,5428.0,0.0,134.0
125,Іщейкін Костянтин Євгенович,chesno_2469,Верховна рада України,Загальнодержавний регіон,731758.0,186921.0,0.0,0.0,Депутат 8-го скликання,111.0,382.0,0.0,130.0,139318.0,0.0,"ВАЗ 21014 1,6 л","Mercedes-Benz Viano 3,2 л;Mercedes-Benz SL 3,0 л;BMW X3 3,0 л",51273.0,1134.0,52407.0,918679.0,1282.0,1.0,1310175.0,1.31,11610.0,0.0,11610.0,0.0,623.0
129,Абрамовський Роман Романович,vulyk_4_1_24,"Міністерство регіонального розвитку, будівництва та житлово-комунального господарства",Загальнодержавний регіон,199370.0,164047.0,0.0,419585.0,"заступник Міністра регіонального розвитку, будівництва та житлово-комунального господарства України",322.0,85.0,0.0,0.0,104498.0,0.0,Mercedes-Benz S 500;,Land Rover Range Rover;BMW X5,79578.0,57813.0,137391.0,363417.0,1989.0,58.0,3434775.0,3.43,8708.0,0.0,8708.0,419585.0,407.0
165,Алєксєєв Сергій Олегович,chesno_2532,Верховна рада України,Загальнодержавний регіон,21517879.0,493632.0,0.0,0.0,Депутат 8-го скликання,188.0,482.0,0.0,685.0,58312.0,34290.0,Mercedes-Benz S500L 4663 куб. см;Ferrari 458 Italia 4497 куб.см;Mercedes-Benz GL450 4663 куб.см,Porsche Cayenne S 4806 куб.см,25918.0,102845.0,128763.0,22011511.0,648.0,103.0,3219075.0,3.22,4859.0,2858.0,7717.0,0.0,1355.0
173,Амелін Вячеслав Іванович,vulyk_8_120,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,Загальнодержавний регіон,269300.43,0.0,0.0,0.0,суддя Вищого спеціалізованого суду України з розгляду цивільних і кримінальних справ,179.0,0.0,0.0,0.0,267634.77,0.0,Mitsubishi Outlander XL;Hyundai Santa FE;,,0.0,46704.0,46704.0,269300.43,0.0,47.0,1167600.0,1.17,22303.0,0.0,22303.0,0.0,179.0
198,Андріїв Богдан Євстафійович,vulyk_4_97,Ужгородська міська рада,Закарпатська область,3103917.26,8587842.45,6705300.0,24304429.0,секретар ради м. Ужгорода,98.0,71.0,0.0,0.0,98013.47,0.0,,Mercedes-Benz ML 350,56919.0,0.0,56919.0,11691759.71,1423.0,0.0,1422975.0,1.42,8168.0,0.0,8168.0,31009729.0,169.0
241,Атаманчук Олексій Петрович,vulyk_29_39,Міністерство внутрішніх справ,Хмельницька область,78994.71,136250.0,0.0,0.0,заступник начальника - начальник МГБ Кам'янець-Подільського РВ УМВС України в Хмельницькій  обл..,0.0,0.0,0.0,150.0,69187.29,0.0,Opel Vectra B;ВАЗ 2101,;,0.0,53065.0,53065.0,215244.71,0.0,53.0,1326625.0,1.33,5766.0,0.0,5766.0,0.0,150.0
243,Афонов Роман Петрович,vulyk_13_107,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,Запорізька область,850597.0,27900.0,0.0,0.0,заступник начальника головного управління ДФС у Запорізький області,112.0,0.0,0.0,85.0,80513.0,0.0,Skoda Superb,Nissan X-Trail,22603.0,22707.0,45310.0,878497.0,565.0,23.0,1132750.0,1.13,6709.0,0.0,6709.0,0.0,197.0
250,Бабенко Микола Вікторович,vulyk_4_143,Київська обласна Рада,Київська область,297682.66,288927.0,0.0,0.0,голова Київської обласної ради,32.0,112.0,60.0,60.0,118260.25,0.0,BMW X5,BMW X6,62092.0,33528.0,95620.0,586609.66,1552.0,34.0,2390500.0,2.39,9855.0,0.0,9855.0,0.0,264.0
258,Бабій Сергій Олександрович,vulyk_55_179,Загальний місцевий суд,Дніпропетровська область,547704.0,11793.0,0.0,0.0,суддя Павлоградського міськрайонного суду Дніпропетровської області,165.0,65.0,0.0,0.0,170252.0,0.0,Mitsubishi Lancer;Toyota Rav 4,Toyota Yaris,11651.0,34532.0,46183.0,559497.0,291.0,35.0,1154575.0,1.15,14188.0,0.0,14188.0,0.0,230.0
290,Балакірєв Микола Сергійович,vulyk_1_1696,Прокуратура,м. Київ,187944.0,50100.0,0.0,0.0,прокурор прокуратури Печерського району міста Києва,105.0,139.0,0.0,0.0,77496.0,15600.0,Volkswagen Passat B6,Volkswagen Tiguan,28975.0,12287.0,41262.0,238044.0,724.0,12.0,1031550.0,1.03,6458.0,1300.0,7758.0,0.0,244.0
315,Барбара Валентин Петрович,vulyk_56_152,Верховний суд,Загальнодержавний регіон,359154.0,390487.0,0.0,0.0,заступник голови Верховного Суду України - секретар судової палати у господарських справах,90.0,235.0,0.0,0.0,350707.0,0.0,Mercedes-Benz A 150,Mercedes-Benz GL 350,80081.0,13012.0,93093.0,749641.0,2002.0,13.0,2327325.0,2.33,29226.0,0.0,29226.0,0.0,325.0
321,Барицька Тетяна Луківна,vulyk_8_22,Вищий господарський суд,Загальнодержавний регіон,366384.0,22485.0,0.0,0.0,суддя Вищого господарського суду України,19.0,49.0,17.0,0.0,302951.0,0.0,,BMW X5,50743.0,0.0,50743.0,388869.0,1269.0,0.0,1268575.0,1.27,25246.0,0.0,25246.0,0.0,85.0
324,Бартащук Любов ПетРівна,vulyk_42_163,Загальний місцевий суд,м. Київ,213727.3,0.0,0.0,0.0,суддя Дніпровського районного суду міста Києва,0.0,0.0,535.0,0.0,213727.3,0.0,BMW X5,,0.0,50743.0,50743.0,213727.3,0.0,51.0,1268575.0,1.27,17811.0,0.0,17811.0,0.0,535.0
330,Басараб Сергій Михайлович,vulyk_9_54,Обласна державна адміністрація,Івано-Франківська область,1839380.0,1109327.0,0.0,0.0,перший заступник голови Івано-Франківської облдержадміністрації,152.0,401.0,593.0,0.0,10787.0,2860.0,Volkswagen Golf;Toyota Camry;Volkswagen Passat;Ford GBS;,Audi Q5;ГАЗ 67;Chevrolet Lacetti;,46850.0,10736.0,57586.0,2948707.0,1171.0,11.0,1439650.0,1.44,899.0,238.0,1137.0,0.0,1146.0
342,Башинський Станіслав Францович,vulyk_54_175,Загальний місцевий суд,Житомирська область,399746.3,0.0,0.0,0.0,голова Житомирського районного суду Житомирської області,0.0,0.0,0.0,200.0,273686.3,0.0,Nissan Qashqai,Ford Focus;Ford Kuga,29171.0,13495.0,42666.0,399746.3,729.0,13.0,1066650.0,1.07,22807.0,0.0,22807.0,0.0,200.0
353,Бездрабко Олег Іванович,vulyk_43_126,Адміністративний місцевий суд,Херсонська область,252154.19,10500.0,0.0,0.0,суддя Херсонського окружного адміністративного суду,150.0,90.0,67.0,0.0,227101.43,0.0,Toyota Avensis;Toyota Camry;,,0.0,41992.0,41992.0,262654.19,0.0,42.0,1049800.0,1.05,18925.0,0.0,18925.0,0.0,307.0
357,Безкоровайний Богдан Вікторович,vulyk_1_1287,Прокуратура,м. Київ,77884.0,0.0,0.0,0.0,прокурор прокуратури Печерського району м. Києва,110.0,0.0,0.0,0.0,77884.0,0.0,Infiniti M37x,Toyota RAV4,24073.0,34407.0,58480.0,77884.0,602.0,34.0,1462000.0,1.46,6490.0,0.0,6490.0,0.0,110.0
378,Бендик Ярослав Миколайович,vulyk_22_129,Прокуратура,Київська область,229442.0,119028.0,0.0,0.0,заступник прокурора Київської області,56.0,0.0,0.0,0.0,229442.0,15782.0,Toyota Land Cruiser Prado;,Skoda Octavia,18378.0,25638.0,44016.0,348470.0,459.0,26.0,1100400.0,1.1,19120.0,1315.0,20435.0,0.0,56.0
380,Бенедик Анна ПетРівна,vulyk_56_114,Апеляційний адміністративний суд,Харківська область,343765.0,415987.0,0.0,0.0,заступник голови Харківського апеляційного адміністративного суду,0.0,99.0,0.0,0.0,264231.0,298249.0,,Volkswagen Touareg,50629.0,0.0,50629.0,759752.0,1266.0,0.0,1265725.0,1.27,22019.0,24854.0,46873.0,0.0,99.0
381,Бенедисюк Ігор Михайлович,vulyk_8_82,Вищий господарський суд,Загальнодержавний регіон,311375.0,27761.0,0.0,0.0,суддя Вищого господарського суду України,97.0,0.0,0.0,0.0,311375.0,27761.0,Volkswagen Touareg,Toyota Rav 4,24906.0,24226.0,49132.0,339136.0,623.0,24.0,1228300.0,1.23,25948.0,2313.0,28261.0,0.0,97.0
386,Бережний Віктор Миколайович,vulyk_7_81,Чернігівська міська рада,Чернігівська область,64321.48,0.0,0.0,0.0,заступник Чернігівського міського голови з питань діяльності виконавчих органів ради,111.0,0.0,0.0,0.0,64316.36,0.0,Audi A8,,0.0,62845.0,62845.0,64321.48,0.0,63.0,1571125.0,1.57,5360.0,0.0,5360.0,0.0,111.0
390,Береза Борислав Юхимович,chesno_2566,Верховна рада України,Загальнодержавний регіон,116719.9,0.0,0.0,0.0,Депутат 8-го скликання,131.0,73.0,91.0,0.0,6719.9,0.0,"Acura MDX 3700 куб.см, 220 кВт;Hyundai Getz 1341 куб.см, 60 кВт","Acura MDX 3700 куб.см, 220 кВт;Hyundai Getz 1341 куб.см, 60 кВт",27480.0,27480.0,54960.0,116719.9,687.0,27.0,1374000.0,1.37,560.0,0.0,560.0,0.0,295.0
394,Березенко Сергій Іванович,vulyk_9_86,Державне управління справами,Загальнодержавний регіон,198025.0,1040485.0,0.0,0.0,керівник державного управління справами,120.0,75.0,0.0,267.0,165820.0,71000.0,Porsche Cayenne;Mercedes-Benz GL 350 BlueTec,,0.0,144615.0,144615.0,1238510.0,0.0,145.0,3615375.0,3.62,13818.0,5917.0,19735.0,0.0,462.0
418,Бех Олег Володимирович,vulyk_25_19,Міністерство внутрішніх справ,Полтавська область,107488.45,117142.48,0.0,0.0,в. о. начальника УМВС України в Полтавській області,55.0,237.0,0.0,0.0,107488.45,0.0,,BMW X5;Mini Cooper,43511.0,0.0,43511.0,224630.93,1088.0,0.0,1087775.0,1.09,8957.0,0.0,8957.0,0.0,292.0
420,Бець Юрій Григорович,vulyk_27_109,Міністерство внутрішніх справ,Полтавська область,79595.84,330650.75,0.0,0.0,начальник Лубенського МВ УМВС України в Полтавській області,0.0,58.0,0.0,0.0,79595.84,330650.75,;ІЖ-2715;,BMW X5;ІЖ-2715;,50743.0,0.0,50743.0,410246.59,1269.0,0.0,1268575.0,1.27,6633.0,27554.0,34187.0,0.0,58.0
432,Бляшенко Олег Вікторович,vulyk_4_2_15,Державна прикордонна служба,Загальнодержавний регіон,148651.0,0.0,0.0,0.0,заступник голови державної прикордонної служби України,139.0,0.0,0.0,0.0,26152.0,0.0,Land Rover Range Rover Evoque;ГАЗ-21;ВАЗ-2107,,0.0,45560.0,45560.0,148651.0,0.0,46.0,1139000.0,1.14,2179.0,0.0,2179.0,0.0,139.0
437,Бобко Тетяна Валеріївна,vulyk_57_102,Загальний місцевий суд,Харківська область,252563.0,0.0,0.0,0.0,голова Харківського районного суду Харківської області,68.0,0.0,0.0,0.0,237348.0,0.0,Toyota Land Cruiser 120,,0.0,40549.0,40549.0,252563.0,0.0,41.0,1013725.0,1.01,19779.0,0.0,19779.0,0.0,68.0
464,Боднарюк Олег Васильович,vulyk_51_151,Адміністративний місцевий суд,Чернівецька область,369510.0,433103.0,0.0,0.0,суддя (голова) Чернівецького окружного адміністративного суду,0.0,0.0,0.0,0.0,219510.0,0.0,BMW X6,Honda Coupe,21304.0,51735.0,73039.0,802613.0,533.0,52.0,1825975.0,1.83,18292.0,0.0,18292.0,0.0,0.0
484,Бойко Сергій Сергійович,vulyk_26_65,Адміністративний місцевий суд,Полтавська область,203214.24,997000.0,0.0,0.0,суддя Полтавського окружного адміністративного суду,106.0,0.0,0.0,365.0,202143.7,0.0,Skoda Superb,Honda CR-V;Skoda Superb,31613.0,18558.0,50171.0,1200214.24,790.0,19.0,1254275.0,1.25,16845.0,0.0,16845.0,0.0,471.0
502,Болобан Валентин Георгійович,vulyk_37_127,Загальний місцевий суд,Донецька область,123050.0,0.0,0.0,0.0,суддя Ленінського районного суду м. Донецька,0.0,81.0,0.0,0.0,123050.0,0.0,,Land Rover Range Rover Sport,44325.0,0.0,44325.0,123050.0,1108.0,0.0,1108125.0,1.11,10254.0,0.0,10254.0,0.0,81.0
518,Бондар Сергій Миколайович,vulyk_10_141,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,Одеська область,69518.81,0.0,0.0,0.0,начальник відділу митного оформлення №2 митного поста Григорівка Південної митниці міндоходів,0.0,0.0,0.0,204.0,69263.93,0.0,Ford Fusion;Mitsubishi Pajero Sport;,Ford Fusion,8506.0,34848.0,43354.0,69518.81,213.0,35.0,1083850.0,1.08,5772.0,0.0,5772.0,0.0,204.0
531,Бондаренко Сергій Олександрович,vulyk_39_107,Прокуратура,Луганська область,204857.0,0.0,0.0,0.0,прокурор м. Брянки Луганської області,0.0,44.0,0.0,0.0,204857.0,0.0,Nissan Teana;,Audi Q5,39461.0,15832.0,55293.0,204857.0,987.0,16.0,1382325.0,1.38,17071.0,0.0,17071.0,0.0,44.0
533,Бондарчук Ігор Володимирович,vulyk_4_1_13,Державна архівна служба,Загальнодержавний регіон,153533.0,0.0,0.0,0.0,заступник голови державної архівної служби України,350.0,0.0,575.0,0.0,149033.58,0.0,Toyota Land Cruiser Prado;,Toyota RAV4,11957.0,38173.0,50130.0,153533.0,299.0,38.0,1253250.0,1.25,12419.0,0.0,12419.0,0.0,925.0
547,Борзов Сергій Сергійович,vulyk_9_85,Державне управління справами,Загальнодержавний регіон,444500.0,262259.0,0.0,735000.0,заступник керівника державного управління справами,16.0,38.0,112.0,0.0,82195.0,6090.0,Mercedes-Benz Vito;Ford Explorer;Toyota Rav 4,Lexus GX 470,29441.0,51611.0,81052.0,706759.0,736.0,52.0,2026300.0,2.03,6850.0,508.0,7358.0,735000.0,166.0
552,Бориславський Юрій Любомирович,vulyk_18_32,Загальний місцевий суд,Львівська область,206950.0,315034.0,0.0,0.0,голова Залізничного районного суду м. Львова,85.0,176.0,0.0,0.0,205836.0,87514.0,Lexus IS 300,Audi Q7,56096.0,20417.0,76513.0,521984.0,1402.0,20.0,1912825.0,1.91,17153.0,7293.0,24446.0,0.0,261.0
566,Бородавко Ігор Петрович,vulyk_28_169,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,Рівненська область,81282.0,186000.0,0.0,0.0,перший заступник начальника ГУ ДФС у Рівненській області,0.0,0.0,0.0,0.0,81062.0,186000.0,Acura MDX;Infiniti FX 37S,Mazda 3,11270.0,58257.0,69527.0,267282.0,282.0,58.0,1738175.0,1.74,6755.0,15500.0,22255.0,0.0,0.0
572,Бородіна Наталія Михайлівна,vulyk_52_28,Загальний місцевий суд,Харківська область,217179.84,15120.0,0.0,0.0,суддя Київського районного суду м. Харкова,125.0,14.0,0.0,0.0,203090.04,15120.0,Lexus RX 350;,Acura RL,18043.0,35878.0,53921.0,232299.84,451.0,36.0,1348025.0,1.35,16924.0,1260.0,18184.0,0.0,139.0
600,Братюк Владислав Петрович,vulyk_21_25,Прокуратура,Закарпатська область,142615.0,444075.0,0.0,0.0,Берегівський міжрайонний прокурор Закарпатської області,0.0,0.0,258.0,20.0,142615.0,1480.0,Toyota Camry;Toyota Highlander,,0.0,49780.0,49780.0,586690.0,0.0,50.0,1244500.0,1.24,11885.0,123.0,12008.0,0.0,278.0
601,Братюк Олександр Петрович,vulyk_21_32,Прокуратура,Закарпатська область,151875.0,46271.0,0.0,0.0,прокурор Мукачівського району Закарпатської області,0.0,48.0,0.0,152.0,151875.0,46193.0,Toyota Camry,Daewoo Lanos;Nissan Qashqai,22004.0,19023.0,41027.0,198146.0,550.0,19.0,1025675.0,1.03,12656.0,3849.0,16505.0,0.0,200.0
608,Бригинець Лариса Миколаївна,vulyk_55_140,Апеляційний господарський суд,Рівненська область,290813.04,26543.0,0.0,0.0,суддя Рівненського апелляційного господарського суду,0.0,0.0,368.0,0.0,247654.08,0.0,Toyota;,Ford Transit,0.0,49201.0,49201.0,317356.04,0.0,49.0,1230025.0,1.23,20638.0,0.0,20638.0,0.0,368.0
611,Британчук Володимир Васильович,vulyk_8_165,Вищий спецiалiзований суд України з розгляду цивiльних i кримiнальних справ,Загальнодержавний регіон,595677.0,403300.0,0.0,0.0,суддя Вищого спеціалізованого суду України з розгляду цивільних і кримінальних справ,83.0,180.0,0.0,48.0,302363.0,40300.0,Nissan X-Trail,Nissan Qashqai;Nissan Qashqai;,37907.0,19694.0,57601.0,998977.0,948.0,20.0,1440025.0,1.44,25197.0,3358.0,28555.0,0.0,311.0
612,Бровченко Ігор Олександрович,vulyk_55_26,Загальний апеляційний суд,Харківська область,279706.0,30716.0,0.0,0.0,суддя апеляційного суду Харківської області,213.0,53.0,0.0,0.0,279706.0,30716.0,;,Mercedes-Benz CL-350,96587.0,0.0,96587.0,310422.0,2415.0,0.0,2414675.0,2.41,23309.0,2560.0,25869.0,0.0,266.0
627,Бударний Олександр Володимирович,vulyk_34_81,Міністерство внутрішніх справ,Харківська область,518500.0,18600.0,0.0,0.0,перший заступник начальника - начальник слідчого управління ГУМВС України в Харківській області,65.0,210.0,0.0,0.0,136535.0,0.0,Mercedes-Benz GL 500,Toyota Camry,23561.0,36429.0,59990.0,537100.0,589.0,36.0,1499750.0,1.5,11378.0,0.0,11378.0,0.0,275.0
640,Буленко Олександр Олексійович,vulyk_26_40,Апеляційний суд,Полтавська область,454563.18,207095.54,0.0,0.0,заступник голови апеляційного суду Полтавської області,124.0,177.0,0.0,0.0,279513.18,0.0,Lexus GX,Toyota Camry,26194.0,48864.0,75058.0,661658.72,655.0,49.0,1876450.0,1.88,23293.0,0.0,23293.0,0.0,301.0
647,Буракова Алла Миколаївна,vulyk_59_59,Господарський місцевий суд,Харківська область,188209.0,358675.0,0.0,0.0,суддя господарського суду Харківської області,0.0,0.0,450.0,17.0,188209.0,358675.0,Mercedes-Benz C-Class,Mercedes-Benz C 180;Skoda Octavia,37124.0,21345.0,58469.0,546884.0,928.0,21.0,1461725.0,1.46,15684.0,29890.0,45574.0,0.0,467.0
667,Буряк Олександр Олександрович,vulyk_1_1362,Прокуратура,м. Київ,163314.0,243575.0,0.0,0.0,заступник прокурора Дарницького району міста Києва,65.0,0.0,0.0,0.0,158314.0,130575.0,Mercedes-Benz E-350,,0.0,51440.0,51440.0,406889.0,0.0,51.0,1286000.0,1.29,13193.0,10881.0,24074.0,0.0,65.0
683,Буцьких Дмитро Олександрович,vulyk_12_106,Міністерство внутрішніх справ,Дніпропетровська область,488838.82,0.0,0.0,0.0,заступник начальника ДМУ ГУМВС України в Дніпропетровській області,0.0,0.0,240.0,0.0,44838.82,0.0,Toyota Land Cruiser 200,Lexus ES 350,45676.0,75718.0,121394.0,488838.82,1142.0,76.0,3034850.0,3.03,3737.0,0.0,3737.0,0.0,240.0
705,Білан Сергій Васильович,vulyk_4_2_69,Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/,Загальнодержавний регіон,252323.49,96128.32,0.0,0.0,перший заступник голови ДФС України,57.0,238.0,0.0,0.0,182762.85,96128.32,Skoda Superb;Lexus,,0.0,40734.0,40734.0,348451.81,0.0,41.0,1018350.0,1.02,15230.0,8011.0,23241.0,0.0,295.0
712,Білий Валерій Олександрович,vulyk_2_192,Прокуратура,Одеська область,120327.0,0.0,0.0,0.0,перший заступник прокурора Суворівського району м. Одеси Одеської області,0.0,0.0,0.0,0.0,120327.0,0.0,Toyota Avalon;Toyota Camry;,Mitsubishi Pajero Sport,21962.0,54080.0,76042.0,120327.0,549.0,54.0,1901050.0,1.9,10027.0,0.0,10027.0,0.0,0.0
728,Білоус Сергій Андрійович,vulyk_11_40,Прокуратура,Вінницька область,155597.0,288722.0,0.0,0.0,начальник відділу прокуратури Вінницької області,121.0,66.0,241.0,0.0,146347.0,0.0,Skoda Fabia,Renault Logan;Renault Logan;Toyota Rav 4;,50575.0,12325.0,62900.0,444319.0,1264.0,12.0,1572500.0,1.57,12196.0,0.0,12196.0,0.0,428.0
730,Білоусов Сергій Миколайович,vulyk_45_162,Господарський місцевий суд,Полтавська область,247553.0,43273.0,0.0,0.0,заступник голови господарського суду Полтавської області,64.0,64.0,0.0,0.0,209983.0,0.0,Toyota Camry,Toyota Rav 4,20365.0,23561.0,43926.0,290826.0,509.0,24.0,1098150.0,1.1,17499.0,0.0,17499.0,0.0,128.0
742,Бірюков Руслан Миколайович,vulyk_26_184,Міністерство внутрішніх справ,Одеська область,110239.99,299000.0,0.0,0.0,"заступник начальника УБОП ГУ МВС України в Одеській області, підполковник міліції",21.0,22.0,0.0,250.0,110239.99,0.0,BMW;Land Rover Range Rover Sport;,Land Rover Range Rover Sport,49043.0,69043.0,118086.0,409239.99,1226.0,69.0,2952150.0,2.95,9187.0,0.0,9187.0,0.0,293.0
